 market  , stkcode  , order_book_id  , ind_number_2021  
 0       , 000004   , 000004.XSHE    , ind26            
 0       , 000007   , 000007.XSHE    , ind23            
 0       , 000019   , 000019.XSHE    , ind13            
 0       , 000029   , 000029.XSHE    , ind19            
 0       , 000100   , 000100.XSHE    , ind20            
 0       , 000402   , 000402.XSHE    , ind19            
 0       , 000411   , 000411.XSHE    , ind1             
 0       , 000416   , 000416.XSHE    , ind28            
 0       , 000419   , 000419.XSHE    , ind23            
 0       , 000426   , 000426.XSHE    , ind25            
 0       , 000509   , 000509.XSHE    , ind20            
 0       , 000520   , 000520.XSHE    , ind3             
 0       , 000538   , 000538.XSHE    , ind1             
 0       , 000540   , 000540.XSHE    , ind19            
 0       , 000572   , 000572.XSHE    , ind2             
 0       , 000586   , 000586.XSHE    , ind9             
 0       , 000623   , 000623.XSHE    , ind1             
 0       , 000627   , 000627.XSHE    , ind28            
 0       , 000631   , 000631.XSHE    , ind19            
 0       , 000633   , 000633.XSHE    , ind25            
 0       , 000657   , 000657.XSHE    , ind25            
 0       , 000663   , 000663.XSHE    , ind13            
 0       , 000665   , 000665.XSHE    , ind12            
 0       , 000670   , 000670.XSHE    , ind20            
 0       , 000683   , 000683.XSHE    , ind5             
 0       , 000697   , 000697.XSHE    , ind24            
 0       , 000705   , 000705.XSHE    , ind1             
 0       , 000707   , 000707.XSHE    , ind5             
 0       , 000708   , 000708.XSHE    , ind10            
 0       , 000750   , 000750.XSHE    , ind28            
 0       , 000785   , 000785.XSHE    , ind23            
 0       , 000795   , 000795.XSHE    , ind25            
 0       , 000815   , 000815.XSHE    , ind16            
 0       , 000862   , 000862.XSHE    , ind4             
 0       , 000888   , 000888.XSHE    , ind18            
 0       , 000889   , 000889.XSHE    , ind9             
 0       , 000890   , 000890.XSHE    , ind30            
 0       , 000926   , 000926.XSHE    , ind19            
 0       , 000933   , 000933.XSHE    , ind25            
 0       , 000948   , 000948.XSHE    , ind26            
 0       , 000962   , 000962.XSHE    , ind25            
 0       , 000971   , 000971.XSHE    , ind9             
 0       , 000982   , 000982.XSHE    , ind22            
 0       , 000996   , 000996.XSHE    , ind2             
 0       , 001213   , 001213.XSHE    , ind3             
 0       , 001234   , 001234.XSHE    , ind22            
 0       , 001287   , 001287.XSHE    , ind20            
 0       , 001308   , 001308.XSHE    , ind20            
 0       , 001311   , 001311.XSHE    , ind2             
 0       , 001314   , 001314.XSHE    , ind20            
 0       , 001324   , 001324.XSHE    , ind15            
 0       , 001360   , 001360.XSHE    , ind15            
 0       , 002002   , 002002.XSHE    , ind5             
 0       , 002003   , 002003.XSHE    , ind22            
 0       , 002020   , 002020.XSHE    , ind1             
 0       , 002032   , 002032.XSHE    , ind6             
 0       , 002035   , 002035.XSHE    , ind6             
 0       , 002039   , 002039.XSHE    , ind4             
 0       , 002040   , 002040.XSHE    , ind3             
 0       , 002048   , 002048.XSHE    , ind2             
 0       , 002061   , 002061.XSHE    , ind7             
 0       , 002063   , 002063.XSHE    , ind26            
 0       , 002066   , 002066.XSHE    , ind14            
 0       , 002086   , 002086.XSHE    , ind1             
 0       , 002089   , 002089.XSHE    , ind9             
 0       , 002111   , 002111.XSHE    , ind15            
 0       , 002121   , 002121.XSHE    , ind21            
 0       , 002123   , 002123.XSHE    , ind9             
 0       , 002126   , 002126.XSHE    , ind2             
 0       , 002149   , 002149.XSHE    , ind25            
 0       , 002174   , 002174.XSHE    , ind12            
 0       , 002186   , 002186.XSHE    , ind18            
 0       , 002195   , 002195.XSHE    , ind26            
 0       , 002214   , 002214.XSHE    , ind24            
 0       , 002215   , 002215.XSHE    , ind5             
 0       , 002224   , 002224.XSHE    , ind5             
 0       , 002234   , 002234.XSHE    , ind13            
 0       , 002261   , 002261.XSHE    , ind26            
 0       , 002262   , 002262.XSHE    , ind1             
 0       , 002284   , 002284.XSHE    , ind2             
 0       , 002293   , 002293.XSHE    , ind22            
 0       , 002307   , 002307.XSHE    , ind7             
 0       , 002318   , 002318.XSHE    , ind10            
 0       , 002338   , 002338.XSHE    , ind24            
 0       , 002349   , 002349.XSHE    , ind1             
 0       , 002373   , 002373.XSHE    , ind26            
 0       , 002426   , 002426.XSHE    , ind20            
 0       , 002443   , 002443.XSHE    , ind10            
 0       , 002453   , 002453.XSHE    , ind5             
 0       , 002466   , 002466.XSHE    , ind25            
 0       , 002483   , 002483.XSHE    , ind15            
 0       , 002484   , 002484.XSHE    , ind20            
