action,amount,commission,filled,price,security,security_name,side,time
open,5300,28.66,5300,33.8,301075.XSHE,多瑞医药,long,2023-01-03 09:31:00
open,22800,28.71,22800,7.87,002591.XSHE,恒大高新,long,2023-01-03 09:37:00
open,12600,28.81,12600,14.29,300434.XSHE,金石亚药,long,2023-01-03 09:53:00
open,6500,28.58,6500,27.48,003004.XSHE,声迅股份,long,2023-01-03 10:04:00
open,17600,28.72,17600,10.2,002193.XSHE,如意集团,long,2023-01-03 10:10:00
open,2300,27.71,2300,75.3,301089.XSHE,拓新药业,long,2023-01-03 10:12:00
open,4900,28.45,4900,36.29,301211.XSHE,亨迪药业,long,2023-01-03 10:13:00
open,3000,17.56,3000,36.58,301075.XSHE,多瑞医药,long,2023-01-03 11:00:00
open,9500,28.71,9500,18.89,300753.XSHE,爱朋医疗,long,2023-01-03 14:29:00
open,13300,28.52,13300,13.4,600706.XSHG,曲江文旅,long,2023-01-04 09:44:00
close,8300,322.35,8300,33.48,301075.XSHE,多瑞医药,long,2023-01-04 13:31:00
close,22800,224.81,22800,8.5,002591.XSHE,恒大高新,long,2023-01-04 13:31:00
close,12600,194.83,12600,13.33,300434.XSHE,金石亚药,long,2023-01-04 13:31:00
close,17600,200.28,17600,9.81,002193.XSHE,如意集团,long,2023-01-04 13:31:00
close,2300,194.84,2300,73.03,301089.XSHE,拓新药业,long,2023-01-04 13:31:00
close,4900,188.65,4900,33.19,301211.XSHE,亨迪药业,long,2023-01-04 13:31:00
close,9500,205.41,9500,18.64,300753.XSHE,爱朋医疗,long,2023-01-04 13:31:00
open,14900,28.54,14900,11.97,601007.XSHG,金陵饭店,long,2023-01-04 13:36:00
close,6500,227.18,6500,30.13,003004.XSHE,声迅股份,long,2023-01-04 13:37:00
open,17100,28.45,17100,10.4,002193.XSHE,如意集团,long,2023-01-05 09:34:00
open,6800,28.44,6800,26.14,002875.XSHE,安奈儿,long,2023-01-05 09:40:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:00:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:01:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:02:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:03:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:04:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:05:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:06:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:07:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:08:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:09:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:10:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:11:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:12:00
open,10200,0.0,0,0.0,002193.XSHE,如意集团,long,2023-01-05 11:13:00
