amount,avg_cost,closeable_amount,price,security,security_name,side,time
8300.0,34.804819277108436,0,35.68,301075.XSHE,多瑞医药,long,2023-01-03 16:00:00
22800.0,7.87,0,8.25,002591.XSHE,恒大高新,long,2023-01-03 16:00:00
12600.0,14.29,0,14.12,300434.XSHE,金石亚药,long,2023-01-03 16:00:00
6500.0,27.48,0,27.41,003004.XSHE,声迅股份,long,2023-01-03 16:00:00
17600.0,10.2,0,10.62,002193.XSHE,如意集团,long,2023-01-03 16:00:00
2300.0,75.3,0,74.36,301089.XSHE,拓新药业,long,2023-01-03 16:00:00
4900.0,36.29,0,35.3,301211.XSHE,亨迪药业,long,2023-01-03 16:00:00
9500.0,18.89,0,18.68,300753.XSHE,爱朋医疗,long,2023-01-03 16:00:00
13300.0,13.4,0,13.32,600706.XSHG,曲江文旅,long,2023-01-04 16:00:00
14900.0,11.97,0,11.66,601007.XSHG,金陵饭店,long,2023-01-04 16:00:00
17100.0,10.4,0,10.9,002193.XSHE,如意集团,long,2023-01-05 16:00:00
6800.0,26.14,0,25.45,002875.XSHE,安奈儿,long,2023-01-05 16:00:00
37200.0,5.993978494623656,0,5.83,002467.XSHE,二六三,long,2023-01-06 16:00:00
4200.0,42.29,0,42.86,301026.XSHE,浩通科技,long,2023-01-09 16:00:00
16100.0,11.03,0,11.39,600661.XSHG,昂立教育,long,2023-01-09 16:00:00
37900.0,7.624327176781002,0,8.11,300359.XSHE,全通教育,long,2023-01-09 16:00:00
21600.0,8.22,0,8.14,002357.XSHE,富临运业,long,2023-01-09 16:00:00
11200.0,15.88,0,15.72,002213.XSHE,大为股份,long,2023-01-09 16:00:00
45700.0,3.92,0,3.83,600853.XSHG,龙建股份,long,2023-01-09 16:00:00
14500.0,15.278,0,15.3,300551.XSHE,古鳌科技,long,2023-01-13 16:00:00
7200.0,24.57,0,23.77,300565.XSHE,科信技术,long,2023-01-13 16:00:00
6800.0,25.88,0,25.81,603029.XSHG,天鹅股份,long,2023-01-13 16:00:00
15400.0,11.55,0,11.41,000929.XSHE,兰州黄河,long,2023-01-13 16:00:00
12400.0,14.35,0,15.1,603711.XSHG,香飘飘,long,2023-01-13 16:00:00
21100.0,8.42,0,8.84,002279.XSHE,久其软件,long,2023-01-16 16:00:00
19600.0,14.66969387755102,0,14.55,002336.XSHE,人人乐,long,2023-01-16 16:00:00
3600.0,59.58694444444444,0,61.3,300553.XSHE,集智股份,long,2023-01-17 16:00:00
38900.0,4.59,0,4.52,002172.XSHE,澳洋健康,long,2023-01-18 16:00:00
6800.0,25.94,0,25.55,300659.XSHE,中孚信息,long,2023-01-18 16:00:00
17900.0,9.95,0,10.35,002290.XSHE,禾盛新材,long,2023-01-20 16:00:00
26000.0,6.88,0,6.52,002686.XSHE,亿利达,long,2023-01-20 16:00:00
12000.0,14.92,0,14.97,000610.XSHE,西安旅游,long,2023-01-20 16:00:00
23200.0,7.69,0,7.61,300359.XSHE,全通教育,long,2023-01-20 16:00:00
75500.0,3.2708079470198674,0,3.29,300010.XSHE,豆神教育,long,2023-01-30 16:00:00
6800.0,26.24,0,27.61,603895.XSHG,天永智能,long,2023-02-01 16:00:00
10700.0,16.8,0,17.22,600476.XSHG,湘邮科技,long,2023-02-01 16:00:00
43700.0,4.13,0,4.35,002094.XSHE,青岛金王,long,2023-02-01 16:00:00
13200.0,13.65,0,14.27,000151.XSHE,中成股份,long,2023-02-01 16:00:00
9300.0,19.48,0,19.5,002777.XSHE,久远银海,long,2023-02-01 16:00:00
11900.0,15.14,0,15.24,603825.XSHG,华扬联众,long,2023-02-01 16:00:00
80200.0,3.681558603491272,0,3.7,300135.XSHE,宝利国际,long,2023-02-07 16:00:00
20600.0,8.8,0,8.98,002378.XSHE,章源钨业,long,2023-02-07 16:00:00
5200.0,34.8,0,34.12,003004.XSHE,声迅股份,long,2023-02-09 16:00:00
6600.0,27.18,0,26.35,301199.XSHE,迈赫股份,long,2023-02-09 16:00:00
21200.0,11.687641509433963,0,11.93,600571.XSHG,信雅达,long,2023-02-09 16:00:00
18900.0,9.55,0,9.36,002167.XSHE,东方锆业,long,2023-02-09 16:00:00
5500.0,32.57,0,32.87,002987.XSHE,京北方,long,2023-02-09 16:00:00
19200.0,9.36,0,8.97,002339.XSHE,积成电子,long,2023-02-10 16:00:00
2900.0,97.39724137931034,0,100.14,300990.XSHE,同飞股份,long,2023-02-13 16:00:00
8100.0,22.02,0,21.0,300847.XSHE,中船汉光,long,2023-02-13 16:00:00
4300.0,40.76,0,39.8,301018.XSHE,申菱环境,long,2023-02-13 16:00:00
16100.0,11.05,0,11.47,002877.XSHE,智能自控,long,2023-02-15 16:00:00
13200.0,13.43,0,13.15,300603.XSHE,立昂技术,long,2023-02-15 16:00:00
4400.0,40.28,0,39.89,300585.XSHE,奥联电子,long,2023-02-15 16:00:00
16500.0,10.74,0,11.13,603687.XSHG,大胜达,long,2023-02-17 16:00:00
9800.0,18.03,0,17.62,301228.XSHE,实朴检测,long,2023-02-17 16:00:00
10900.0,16.22,0,15.58,603083.XSHG,剑桥科技,long,2023-02-17 16:00:00
12400.0,14.29,0,13.89,002953.XSHE,日丰股份,long,2023-02-17 16:00:00
24700.0,7.2,0,7.15,002328.XSHE,新朋股份,long,2023-02-17 16:00:00
36100.0,6.15398891966759,0,6.09,600880.XSHG,博瑞传播,long,2023-02-17 16:00:00
23900.0,7.41,0,7.8,002686.XSHE,亿利达,long,2023-02-17 16:00:00
15300.0,11.6,0,12.14,002719.XSHE,麦趣尔,long,2023-02-17 16:00:00
18800.0,9.46,0,9.15,000716.XSHE,黑芝麻,long,2023-02-17 16:00:00
2500.0,69.61,0,68.94,603208.XSHG,江山欧派,long,2023-02-17 16:00:00
11700.0,15.2,0,14.76,002825.XSHE,纳尔股份,long,2023-02-17 16:00:00
11100.0,16.0,0,15.75,300691.XSHE,联合光电,long,2023-02-17 16:00:00
22400.0,7.94,0,7.76,300403.XSHE,汉宇集团,long,2023-02-17 16:00:00
8100.0,27.20395061728395,0,27.28,300781.XSHE,因赛集团,long,2023-02-17 16:00:00
